Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Argentina,Violence against women protests,20-Apr,Free,Increasing rates of violence and femicide against women during the government-mandated lockdown.,Violence against women and lack of resources/institutions to combat it.,">1,000",Women.,"1 month in 2020, 1 day in November 2022",The Supreme Court of Mendoza established several protocols for domestic violence victims to file complaints.,,,X,,Thousands,X,,,,,Buenos Aires
Argentina,Coronavirus lockdown and judicial reform protests,20-Aug,Free,Announcement of continued lockdown measures and introduction of judicial reform bill.,"Resistance to stringent COVID lockdown measures, economic strain, and fear of impunity for corrupt government officials.",">5,000",General public; supporters of the former Macri govenrment.,2 days,No policy/leadership change in response to the protests.,,,X,X,Thousands,X,X,,,,Buenos Aires
Argentina,Economic crisis protests,22-Apr,Free,"The government's adoption of interventionist policies to curb rising prices, especially for agricultural goods.",Frustration with high tax rates and persistently high inflation,">10,000",General public.,Active,"Economy Minister Martin Guzman resigned. He was replaced by Silvina Batakis. She resigned after one month and was replaced by Sergio Massa. In October 2022, President Fernandez announced a cabinet reshuffle, appointing Victoria Tolosa Paz to head the Ministry of Social Development, Ayelen Mazzina to the Ministry of Women, Gender and Diversity, and Raquel Olmos to the Ministry of Labor. In November 2022, Argentina's government announced a plan to freeze or tightly regulate the prices of approximately 1,500 products in an attempt to contain inflation.",X,X,X,,Tens of thousands,,,,X,,Buenos Aires
Argentina,Austerity protests,18-Sep,Free,Proposal of austerity measures mandated by the International Monetary Fund.,"Rising inflation and unemployment, as well as higher utility costs.",">10,000","Teachers, social organizations, leftist groups.",1 year (sporadic),No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Buenos Aires
Argentina,IMF deal protest,21-Dec,Free,Ongoing government negotiations with the International Monetary Fund over debt restructuring.,Concerns over rising economic insecurity; fear that restructuring IMF debt would lead to fiscal austerity measures.,">1,000",General public.,2 months,The government adopted an agreement with the IMF to restructure the country's debt.,,X,X,,Thousands,,,,,,Buenos Aires
Argentina,Kirchner prosecution protest,22-Aug,Free,Prosecutors requested a 12-year prison sentence against Vice President Cristina Fernández de Kirchner for corruption,Anger over perceived political and judicial persecution against Vice President Kirchner,">1,000","General public, especially supporters of Cristina Fernández de Kirchner.",1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Buenos Aires
Armenia,Lachin corridor blockade protests,23-Jul,Partly free,"Azerbaijan banned Russian peacekeepers from delivering humanitarian aid to Nagorno-Karabakh on June 15, exacerbating a humanitarian crisis for the people of the region.",Outrage over the condition of ethnic Armenians in Nagorno-Karabkh at the hands of the Azerbaijani government.,">1,000",General public,Active,No policy/leadership change in response to protests.,X,,X,,Thousands,,,,,,Yerevan
Armenia,“#RejectSerzh” protests,18-Apr,Partly free,"Election of then president Serzh Sargsyan as prime minister, allowing him to subvert presidential term limits.","Democratic backslide, poverty, and corruption.",">100,000","Students, opposition leaders.",2 weeks,"Sargsyan resigned as prime minister and was succeeded by Nikol Pashinyan, an opposition leader and leading figure in the protests.",,,X,X,Thousands,X,,,,,Yerevan
Armenia,Peace plan protests,20-Nov,Partly free,"Announcement of a Russian-brokered peace deal that ceded a sizable part of the contested Nagorno-Karabakh region to Azerbaijan; in May 2022, the government's announcement that it may have to reduce territorial claims as part of the peace process. In September 2022, a new offensive which resulted in further territorial losses for Armenia.","Nationalist sentiment and a belief in Armenian territorial claims to the Nagorno-Karabakh regions, and anger over concessions to Azerbaijan.",">10,000",Coalition of seventeen opposition parties and their adherents.,6 months in 2020–2021; 2 months from April–June 2022; 2 months from September–November 2022.,No policy or leadership change in response to the protests.,,,X,,Tens of thousands,,,,X,,Yerevan
Australia,Coronavirus restriction protests,21-Jul,Free,The imposition of lockdowns and vaccine mandates across many Australian states.,Frustration with ongoing coronavirus restrictions and mandates.,">4,000",General public.,8 months,No policy/leadership change in response to protest.,,,X,,Thousands,,,,X,X,Canberra
Australia,Racial equality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests in Australia against local police brutality and racism.","Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,,Thousands,X,,,,,Canberra
Australia,Violence against women protest,21-Mar,Free,Widespread sexual harassment and perceptions of impunity over a rape allegation made by former political aide Brittany Higgins.,"Anger over a perceived culture of impunity for violence and discrimination against women, especially in elite institutions.",">5,000","General public, especially women.",1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Canberra
Australia,Wildfire protests,20-Jan,Free,Government response to the Australian bushfires.,Climate change and weak government policies on climate.,"30,000","Students, activists.",2 days,"Prime Minister Scott Morrison admitted some regret over government policies, increased funding to respond to the bushfires, and promised that a royal commission would review the government response.",,,X,X,Tens of thousands,X,,X,,,Canberra
Austria,Coronavirus restriction protests,21-Nov,Free,The imposition of vaccine mandates and public health restrictions across Austria.,Frustration with ongoing coronavirus restrictions and mandates.,">40,000","General public, especially unvaccinated populations.",5 months,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Vienna
Azerbaijan,Lachin corridor blockade protests,22-Dec,Not free,"Dozens of Azerbaijanis blocked the Lachin corridor, which connects Armenia to Nagorno-Karabakh.",Perceptions that the Azerbaijani government was supporting the people blocking the Lachin corrider; anger and fear over resulting humanitarian crisis.,">6,000",Residents of Nagorno-Karabakh,Active,"On June 15, 2023, Azerbaijan banned Russian peacekeepers from delivering humanitarian aid to Nagorno-Karabakh, exacerbating the humanitarian crisis in the region.",X,,X,,Thousands,,,,X,,Baku
Azerbaijan,Anticorruption protest,17-Oct,Not free,The detention of six opposition activists.,"Frustration over rampant official corruption, crackdowns on political prisoners, and the entrenchment of the regime of President Ilham Aliyev.",">1,000","Supporters of the National Council of Democratic Forces, an opposition umbrella group.",1 day,No policy/leadership change in response to protests.,,,X,,Over 1 million,,X,,,,Baku
Azerbaijan,Political prisoner protest,19-Jan,Not free,"Opening of a new criminal case against political prisoner and anticorruption blogger Mehman Huseynov, who had run a Facebook page critical of the authorities.","Imprisonment of journalists and civil society members, political prosecutions, police brutality, corruption, and lack of democratic reform.","5,000",Umbrella group of opposition parties.,1 day,Government dropped the new charges against Huseynov.,,,X,,Thousands,,,X,X,,Baku
Azerbaijan,Pro-war protest,20-Jul,Not free,"Brief conflict with Armenia over the contested Nagorno-Karabakh region, which resulted in the deaths of eleven Azerbaijani soldiers, including then major general Polad Hashimov.",Anger over the government’s refusal to escalate the territorial conflict in Nagorno-Karabakh.,">10,000",General public.,1 day,The Azerbaijani military initiated a campaign to take back Nagorno-Karabakh in September 2020.,,,X,,Thousands,,,,,X,Baku
Bahrain,Political prisoner death protest,21-Jun,Not free,Death of political prisoner Husain Barakat from COVID-19 while in police custody.,"Frustration over the detention of political prisoners, poor prison conditions, and ineffectual vaccines.",>500,Residents of the town of Diah; general public.,1 day,No policy/leadership change in response to the protests.,,,X,,Hundreds,,,,,X,Manama
Bangladesh,Economic protests,22-Dec,Partly free,"The opposition Bangladesh National Party (BNP) called for massive demonstrations to demand the resignation of the government led by Prime Minister Sheikh Hasina. In February 2023, the government shut down the BNP's newspaper.",Perceived failure to combat rising fuel prices and cost-of-living issues.,">100,000",Members of the opposition BNP party.,Active,"On August 7, Law Minister Anisul Huq announced that the government would tone down its Digital Security Act; critics argued that the law had been used to silence journalists.",X,X,X,,Tens of thousands,,X,,X,,Dhaka
Bangladesh,Rohingyha repatriation protest,23-Jun,Partly free,"The World Food Programme cut the monthly food allocation for refugees from $10 to $8, having reduced the ration from $12 to $10 in March due to a reduction in global aid for the refugees.",Desire to leave the squalid camps in which the refugees had been living since 2017; hopelessness over prospects of returning to Burma.,">10,000",Rohingya refugees.,1 day,No policy/leadership change in response to the protest.,,X,X,,Tens of thousands,,,,,,Dhaka
Bangladesh,Anti-rape protests,20-Oct,Partly free,Circulation of a video of sexual assault.,"An ongoing sense of impunity for rape and sexual assault perpetrators, especially directed at the state for failing to prosecute or impose significant penalties.",">10,000","General public, especially women and students.",1 week,"The government approved measures to impose the death penalty or lifetime ""rigorous imprisonment"" for rape.",,,X,,Tens of thousands,X,,,,,Dhaka
Bangladesh,Blasphemy protests,19-Oct,Partly free,Circulation of a social media post that allegedly blasphemed the Prophet Muhammad.,"Anger over secularism and blasphemy in Bangladeshi society, as well as simmering tensions between Muslims and Hindus.",">10,000",Muslims.,1 week,No policy/leadership change in response to protests.,,X,,,Hundreds of thousands,,X,,X,,Dhaka
Bangladesh,Fuel price hike protests,22-Aug,Partly free,The government increased the price of fuel.,Fears over worsening economic conditions due to high inflation.,">1,000",General public.,2 weeks,The government reduced the price of fuel by 5 taka per liter.,,X,X,,Thousands,,,,,,Dhaka
Bangladesh,Garment worker protests,19-Jan,Partly free,Failure by garment industry employers to raise wages to match the cost of living or provide adequate working conditions.,Economic inequality and low wages.,">10,000",Garment workers.,"1 year, intermittently",The government announced a pay raise for low-income workers.,,,X,,Thousands,,,,X,X,Dhaka
Bangladesh,Job quota protests,18-Feb,Partly free,The failure of the government to end quotas for jobs in government ministries.,Frustration over lack of economic opportunity and unequal government hiring practices.,">1,000","General public, especially those seeking work in the public sector.",5 months,The government agreed to a piecemeal plan to end hiring quotas over the following two years.,,,X,,Thousands,,,,,X,Dhaka
Bangladesh,Road safety protests,18-Jul,Partly free,Two students killed by a bus driver.,"Lack of road safety, corruption in transportation sector, arrests or disappearances of opposition activists in recent years, and lack of accountable governance.","15,000","Middle school, high school, university students.",1 week,Installation of legal reforms to raise penalties related to dangerous driving.,,,X,,Tens of thousands,X,,X,,,Dhaka
Bangladesh,Student murder protests,19-Oct,Partly free,"Murder of Abrar Fahad, a student who posted anti-government content on his Facebook feed.","Concern over the increasing levels of political violence, especially from the Chhatra League, the youth wing of the ruling Bangladesh Awami League.",">1,000",Students.,1 month,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,,,,X,,Dhaka
Belarus,“Parasite” tax protests,17-Feb,Not free,Labor law that would require citizens who work less than half the year and fail to register with state labor exchanges to pay $250.,"Economic downturn, poverty, continued political restrictions, and detention of opposition activists.",">1,000",General public.,1 month,President Alexander Lukashenko suspended the tax for a year.,,,X,,Thousands,,,,,X,Minsk
Belarus,“Slipper uprising”,20-Jun,Not free,Arrests of opposition presidential candidates; anger over the fraudulence of the August 2020 presidential election.,Opposition to President Alexander Lukashenko’s reelection campaign; frustration over lack of genuine political pluralism.,">100,000",General public.,11 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of of thousands,,X,X,X,,Minsk
Belarus,Anti-war protest,22-Feb,Not free,The holding of a referendum on whether to adopt a new constitution that would renounce Belarus's non-nuclear status and allow President Alexander Lukashenko to stay in power until 2035.,Anger over the change in nuclear status; frustration with entrenchment of the Lukashenko regime; and disagreement with the Belarusian government's support for Russia's invasion of Ukraine.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,X,Hundreds,,,X,,,Minsk
Belarus,Russian integration protests,19-Jul,Not free,A series of meetings between Belarusian President Aleksandr Lukashenko and Russian President Vladimir Putin.,"Opposition to deepening ties between Russia and Belarus, especially in the wake of Russia’s annexation of Crimea.",">1,000",General public.,5 months,No policy/leadership change in response to protests.,,,X,,Unknown,X,,X,,X,Minsk
Belgium,Farmer protest,23-Mar,Free,The Flemish regional government introduced plans to limit nitrogen emissions.,Fears that the proposed legislation would disproportionately impact farmers' livelihoods.,">2,000",Farmers,1 day,No policy/leadership change in response to the protest.,,X,X,,Thousands,,,,,,Brussels
Belgium,Coronavirus restriction protests,21-Jan,Free,The imposition of lockdowns and vaccine mandates across Belgium.,Frustration with ongoing coronavirus restrictions and mandates.,">30,000",General public.,14 months,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Brussels
Belgium,Cost of living protest,22-Dec,Free,The country's three largest trade unions called for a protest.,Surging gas and electricity prices.,"16,500",Public sector employees.,1 day,No policy/leadership change in response to protest.,,X,,,Thousands,,,,,,Brussels
Belgium,Cost of living strike and protest,22-Jun,Free,"National strike over wages and working conditions, especially among airport and other public transit workers.",Frustrations over stagnating wages and a rising cost of living.,">70,000",General public.,1 day,No policy/leadership change in response to protest.,,X,X,,Tens of thousands,,,,,,Brussels
Belgium,Fuel price protest,22-Sep,Free,"Rapidly ising prices, especially of fuel.","Frustrations over falling standard of living, rising profits for energy companies, and stagnating wages.","10,000",General public.,1 day,No policy/leadership change in response to protest.,,X,X,,Tens of thousands,,,,,,Brussels
Benin,Election protests,19-Mar,Free,"Exclusion of five opposition parties from legislative elections, and consequent electoral victory of government-aligned political parties.",Growing authoritarianism and crackdown on political opponents and media.,">1,000",Political supporters of former president Thomas Yayi.,4 months,No policy/leadership change in response to the protests.,,X,X,X,Over 1 million,,X,X,X,,Porto-Novo
Benin,Reelection protests,21-Apr,Partly free,Incumbent President Patrice Talon’s decision to seek another five-year term in office.,Frustration with declining political pluralism and Talon’s decision to seek reelection despite having said he would leave after a single term.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Porto-Novo
Bolivia,Census protests,22-Oct,Partly Free,"The government planned to delay the country's census until after the 2025 general election. In December 2022, Bolivian police arrested opposition leader Luis Fernando Camacho on terrorism charges.","Desire to secure greater representation and increased funding for the city of Santa Cruz, an opposition stronghold; desire for greater local autonomy.",">1,000",Residents of Santa Cruz.,3 months,"The government agreed to hold the census in 2024 ahead of the general election but could not do so in 2023, as protesters demanded.",,X,X,,Thousands,X,,X,,,La Paz
Bolivia,2019 election protests,19-Oct,Partly free,"Electoral irregularities in the 2019 presidential election, in which then president Evo Morales narrowly avoided a runoff contest in suspicious circumstances. After Morales resigned, his supporters led additional protests, alleging he was the victim of a coup.",Fears over electoral fraud and growing authoritarian tendencies.,">10,000","Opposition parties, labor groups, middle-class citizens, some indigenous groups, and (later) Morales’s supporters.",1 month,Morales resigned and was replaced by an interim government. Elections are scheduled to be held in May 2020.,,X,,,Tens of thousands,X,,,,,La Paz
Bolivia,2020 election protests,20-Jul,Partly free,A second delay to nationwide elections stemming from the COVID-19 pandemic.,Ongoing resentment over the resignation of former President Evo Morales; widespread frustration over an ineffective COVID response; anger over the caretaker Áñez government's extension of its own mandate.,">10,000",Supporters of the former President; trade unions.,3 weeks,"The government set a hard deadline for holding nationwide elections (October 18, 2020).",,X,,,Thousands,,,,,,La Paz
Bolivia,Political arrest protests,21-Mar,Partly free,Arrest of former interim president Jeanine Añez and other leaders of the political opposition on coup-related offenses.,Concerns that the judiciary is being politically manipulated and that the administration of President Luis Arce is cracking down on dissent.,">50,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,La Paz
Bolivia,Wildfire protests,19-Oct,Partly free,Then president Evo Morales’s refusal to declare the wildfires in Bolivia a national disaster.,Morales’ environmental policies and growing popular discontent with the president.,"1,500,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,X,La Paz
Bosnia and Herzegovina,Femicide protest,23-Aug,Partly Free,A man shot his ex-wife dead and live streamed the murder on Instagram,Anger and fear over the prevalence of violence against women in Bosnia.,">1,000",Women,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Sarajevo
Bosnia and Herzegovina,Defamation law protests,23-Jul,Partly free,"On March 23, the parliament of the country’s Serb-majority entity, Republika Srpska, passed draft amendments to the criminal code that would recriminalize libel and introduce fines of up to €60,000 for damaging a person's honor or reputation and for publishing damaging videos, photos, or documents without consent.","Fears that the draft amendments, if passed, would restrict freedom of expression and silence independent media.",>100,"Journalists, rights activists",1 day,"On July 20, lawmakers approved the amendments.",,,X,,Hundreds,,,,,,Sarajevo
Bosnia and Herzegovina,“Justice for David” protests,18-Mar,Partly free,"Suspicious death of a young man named David Dragičević, triggering suspicions that the authorities in the Serb region of Bosnia are obstructing the investigation and protecting his killers.","Impunity, weak rule of law, and corruption.",">10,000",Bosnian Serbs.,9 months,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,,X,,X,,Sarajevo
Bosnia and Herzegovina,Election fraud protests,22-Oct,Partly free,Perceived fraud in October 2 elections.,"Heightened tensions between the country's Bosniak, Croat, and Serb populations.",">1,000",Supporters of the opposition.,1 month,"The Central Election Commission ordered a recount of all ballots cast in Republika Srpska. On October 27, the Central Election Commission declared Dodik the winner of the election.",,,X,,Thousands,,,,,,Sarajevo
Brazil,2022 election protests,22-Oct,Free,Opposition candidate Luiz Inácio Lula da Silva won the 2022 Brazilian presidential election.,Anger at perceived fraud in the election.,">10,000",Supporters of Jair Bolsonaro,2 months,"No policy/leadership change in response to protests. On January 8, 2023, supporters of Former President Bolsonaro stormed the country's presidential palace, National Congress, and Supreme Court buildings.",,,X,,Tens of thousands,,,,,,Brasilia
Brazil,Coronavirus protests,20-Mar,Free,"President Jair Bolsonaro’s poor and slow response to the coronavirus outbreak; and the death of George Floyd in the United States, sparking protests against local police brutality and racism.","Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",">1,000",General public.,4 months,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Brasilia
Brazil,Coronavirus response protests,21-Jan,Free,"First round of protests, in January, was triggered by oxygen shortages at hospitals in the city of Manaus and a sluggish rollout of Brazil’s vaccination campaign. Second round of protests, starting in May, was triggered by the government’s slow and inept response amid a third wave of infections and allegations of corruption in vaccine procurement.","Anger over inadequate resourcing of hospitals, underinvestment in vaccines, pervasive corruption, an ineffectual government response, and misinformation and denialism being spread by President Jair Bolsonaro.",">10,000",General public.,11 months,The Brazilian Senate launched an inquiry into the government’s handling of the pandemic.,,,X,X,Tens of thousands,,,,,X,Brasilia
Brazil,Education cuts protests,19-May,Free,Cuts in education spending and postgraduate scholarships.,Economic challenges and government attacks on public education.,">100,000","Students, teachers, teachers’ unions.",3 months,No policy/leadership change in response to the protests.,,,X,,Thousands,X,,X,,,Brasilia
Brazil,Indigenous land rights protests,21-Jun,Free,President Jair Bolsonaro's administration's support for loosening restrictions on land use and the imminent announcement of a verdict in a crucial Indigenous land rights case.,Anger over economic exploitation of Indigenous lands.,">4,000",Indigenous groups.,"11 months, intermittently",The Brazilian Supreme Court suspended the land rights case.,,,X,,Thousands,X,,,,,Brasilia
Bulgaria,Domestic violence protest,23-Jul,Free,"A Bulgarian man beat up his girlfriend, cut her more than 100 times with a knife, and shaved her head—injuries that required 400 stitches. The man was arrested but a court later released him after rating the woman's injuries as ""light""",Anger over the prevalence of violence against women in Bulgaria.,"5,000",General public,1 day,"Parliament strengthened the penal code, increasing punishments for domestic violence and allowing people in “intimate relationships” to seek protection, as married couples already could.",,,X,,Thousands,X,,,,,Sofia
Bulgaria,Ukraine grain protests,23-Apr,Free,European Commission policies to allow Ukrainian farmers to export grains through EU countries—intended to counteract the reduction in grain exports caused by Russian blockades of Ukrainian Black Sea ports—resulted in a glut of Ukrainian grains in Bulgarian markets.,Anger over lowered prices of domestically-produced grains and lower availability of local warehouses.,>100,Farmers,1 week,"On April 28, the European Commission announced an agreement in principle with Hungary, Slovakia, Romania, Bulgaria, and Poland to provide €100 million in compensation to their local farmers and require that Ukrainian exports of wheat, maize, oilseed, and sunflower seed can only enter those five countries if it is already bound for another destination.",,X,X,,Hundreds,X,,,,,Sofia
Bulgaria,Coronavirus lockdown protest,20-May,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism of the coronavirus and vaccines, and other concerns rooted in conspiracy theories and misinformation.",">1,000","Far-left activists, especially supporters of the Vazrazhdane group.",1 day,No policy or leadership change in response to the protest.,,X,,X,Tens of thousands,,,,X,,Sofia
Bulgaria,Corruption protests,20-Jul,Free,Revelations that state National Security Service agents were reserving access of a public beach for a businessman’s private use; police raids on the office of President Rumen Radev; and fresh allegations of corruption against Prime Minister Boyko Borisov.,Widespread corruption that has weakened state institutions and Bulgaria’s rule of law.,"400,000",General public.,6 months,Four ministers resigned; investigation against the President is blocked; Head of the National Security Service resigned; and the government introduces proposed constitutional reforms.,,,X,X,Hundreds of thousands,X,X,,X,,Sofia
Bulgaria,Wage protest,22-Nov,Free,Rising inflation.,Fears of economic harship as wage increases were failing to compensate for price increases.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Sofia
Burkina Faso,Nouna security protest,23-May,Not free,Jihadist insurgents killed six people in an attack in the city of Nouna; violence from unidentified assailants killed dozens of other people earlier in the month.,Anger over perpetual insecurity caused by jihadist insurgents.,>100,General public.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Ouagadougou
Burkina Faso,Partiaga security protest,23-Mar,Not free,Jihadist insurgents killed at least sixty people in an attack in the town of Partiaga.,Anger over perpetual insecurity caused by jihadist insurgents.,">1,000",General public.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Ouagadougou
Burkina Faso,Jihadist violence protests,21-Jul,Partly free,"Rising jihadist terror attacks on civilian targets, including a June attack that killed over 130 people. November protests were triggered by a November 14 attack on a gendarmerie camp in the northern part of the country.","Frustration with rising violence and perceived government inaction in the face of an expanding insurgency, displacement, and a humanitarian crisis.",">1,000",General public.,3 months,"President Roch Kaboré dismissed the defense minister and security minister in June 2021; in December 2021, Kaboré replaced the country’s prime minister. In January 2022, Kaboré was overthrown in a military coup.",,,X,,Thousands,X,,X,X,,Ouagadougou
Cameroon,Women's empowerment protests,22-Mar,Not free,Call for protest by women's groups; commemoration of International Women's Day.,Frustration with pervasive barriers to women's political participation and representation in senior political positions; anger over high costs of living and inflation in 2023.,">10,000",Women.,1 day in March 2022; 1 day in March 2023,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,Yaounde
Cameroon,Detained youth protests,23-Feb,Not free,The military detained about 30 youths for their suspected involvement in rebel activity.,Accusations of abuses committed by Cameroon's military in the reigon.,>100,Women.,1 week,The military released the youths.,,,X,,Hundreds,X,,,,,Yaoundé
Cameroon,Ambazonia protests,17-Oct,Not free,The breakdown of negotiations between representatives of the English-speaking minority and the French-speaking governing majority.,Lack of political autonomy for residents of the English-speaking Northwest and Southwest regions of Cameroon.,">1,000","English-speakers, especially advocates of independence for English-speaking Ambazonia.","1 year, intermittently",No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,X,Yaounde
Cameroon,Electoral protests,18-Oct,Not free,The arrest of opposition leader Maurice Kamto.,Anger over a lack of meaningful political pluralism and a crackdown against political opponents of longtime President Paul Biya.,">1,000","General public, especially supporters of Maurice Kamto.","13 months, intermittently",No policy/leadership change in response to protests.,,X,,,Tens of thousands,X,,X,,,Yaounde
Cameroon,Women's representation in peace talks protest,22-Sep,Not free,Continual violence in separatist struggle in west and terrorism on border with Nigeria.,Women's exclusion from peace talks.,>100,Women.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Yaoundé
Canada,Coronavirus restrictions protests,20-Apr,Free,"Enactment of coronavirus restrictions, including mask mandates, vaccine mandates, and lockdowns.","Skepticism of coronavirus, vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000",General public; truckers.,"2 years, intermittently.",No policy/leadership change in response to the protests.,,X,,X,Thousands,,,X,,X,Ottawa
Canada,Ontario education worker strike and protests,22-Nov,Free,The Ontario government invoked the nothwithstanding clause of Canada's constitution to force education workers not to strike.,Economic hardship resulting from stagnant wages that were not keeping up with the rate of inflation.,">1,000",Education workers,1 week,"Ontario's government agreed to rescind the law which required the education workers to end their strike, to pay workers for the two work days on which they were protesting, and increase hourly wages for all workers by $1.",,X,,,Thousands,X,,,,,Ottawa
Central African Republic,Constitutional referendum protest,23-Jul,Not free,President Faustin-Archange Touadéra announced on May 30 that the country would hold a referendum on a new draft constitution on July 30.,"Fears that the vote would be unfair, and that President Touadéra would use the new constitution to stay in power for life.",500,General public,1 day,"On August 21, the Constitutional Court validated the results of the July 30 referendum, in which 95 percent of voters approved the new constitution. The opposition boycotted the vote.",,,X,,Hundreds,,,,,,Bangui
Central African Republic,Constitution rewrite protests,22-Aug,Not free,President Faustin Archange Touadera ordered the creation of a committee to rewrite the constitution.,Fears that the president was changing the constitution to pave the way for a third term in office.,">1,000",General public.,1 day,The Constitutional Court ruled that the commission created by President Faustin Archange Touadera is unconstitutional.,,,X,,Thousands,,,,,,Bangui
